種別,URL,ステータス,備考
実在URL,/,OK,トップページ
実在URL,/categories/image-generation/,OK,
実在URL,/categories/video-generation/,OK,
実在URL,/categories/video-editing/,OK,
実在URL,/categories/avatar-video/,OK,
実在URL,/categories/design/,OK,
実在URL,/categories/voice-narration/,OK,
実在URL,/comparisons/,OK,
実在URL,/comparisons/adobe-firefly-vs-microsoft-designer/,OK,
実在URL,/comparisons/ai-image-video-tools/,OK,
実在URL,/comparisons/canva-ai-vs-adobe-firefly/,OK,
実在URL,/comparisons/dalle-vs-midjourney/,OK,
実在URL,/comparisons/free-ai-image-generators/,OK,
実在URL,/comparisons/invideo-ai-vs-capcut-ai/,OK,
実在URL,/comparisons/midjourney-vs-adobe-firefly/,OK,
実在URL,/comparisons/midjourney-vs-leonardo-ai/,OK,
実在URL,/comparisons/runway-vs-kling-ai/,OK,
実在URL,/comparisons/runway-vs-pika/,OK,
実在URL,/comparisons/stable-diffusion-vs-midjourney/,OK,
実在URL,/conditions/commercial-use/,OK,
実在URL,/conditions/free/,OK,
実在URL,/conditions/japanese/,OK,
実在URL,/conditions/no-watermark/,OK,
実在URL,/guides/,OK,
実在URL,/guides/ai-image-commercial-use-checklist/,OK,
実在URL,/guides/commercial-use-copyright/,OK,
実在URL,/guides/commercial-use-cost-comparison/,OK,
実在URL,/guides/free-ai-image-tools/,OK,
実在URL,/guides/japanese-ai-image-tools/,OK,
実在URL,/guides/video-generation-credit-cost-comparison/,OK,
実在URL,/guides/watermark-credit-guide/,OK,
実在URL,/tools/,OK,
実在URL,/tools/adobe-firefly/,OK,
実在URL,/tools/canva-ai-image-generator/,OK,
実在URL,/tools/capcut-ai/,OK,
実在URL,/tools/clipdrop/,OK,
実在URL,/tools/dalle/,OK,
実在URL,/tools/dreamstudio/,OK,
実在URL,/tools/fotor-ai/,OK,
実在URL,/tools/gemini-image-generation/,OK,
実在URL,/tools/hailuo-ai/,OK,
実在URL,/tools/haiper/,OK,service_changed注記済み
実在URL,/tools/ideogram/,OK,
実在URL,/tools/invideo-ai/,OK,
実在URL,/tools/kling-ai/,OK,
実在URL,/tools/leonardo-ai/,OK,
実在URL,/tools/luma-ai/,OK,
実在URL,/tools/microsoft-designer/,OK,
実在URL,/tools/midjourney/,OK,
実在URL,/tools/nightcafe/,OK,
実在URL,/tools/pika/,OK,
実在URL,/tools/pixverse/,OK,
実在URL,/tools/playground-ai/,OK,
実在URL,/tools/runway/,OK,
実在URL,/tools/seaart-ai/,OK,
実在URL,/tools/stable-diffusion/,OK,
実在URL,/tools/tensor-art/,OK,
実在URL,/tools/vidu-ai/,OK,
実在URL,/use-cases/,OK,
実在URL,/use-cases/ad-banner/,OK,
実在URL,/use-cases/ai-image-use-case-comparison/,OK,
実在URL,/use-cases/anime-illustration/,OK,
実在URL,/use-cases/blog-eyecatch/,OK,
実在URL,/use-cases/ec-product-image/,OK,
実在URL,/use-cases/faceless-video/,OK,
実在URL,/use-cases/realistic-photo/,OK,
実在URL,/use-cases/shorts/,OK,
実在URL,/use-cases/sns-blog-eyecatch/,OK,
実在URL,/use-cases/sns-post-image/,OK,
実在URL,/use-cases/youtube-thumbnail/,OK,
実在URL,/use-cases/youtube/,OK,
リンク切れ,なし,N/A,
重要導線,/categories/image-generation/,OK,ナビ・複数コンテンツからリンクあり
重要導線,/categories/video-generation/,OK,ナビ・複数コンテンツからリンクあり
重要導線,/conditions/free/,OK,複数ページからリンクあり
重要導線,/conditions/commercial-use/,OK,複数ページからリンクあり
重要導線,/guides/commercial-use-copyright/,OK,ナビ・コンテンツからリンクあり
重要導線,/tools/,OK,ナビ・全ページからリンクあり
重要導線,/comparisons/midjourney-vs-adobe-firefly/,OK,adobe-firefly.md等でリンクあり
重要導線,/comparisons/runway-vs-kling-ai/,OK,カテゴリページ等でリンクあり
