slug,pricingStatus,hasPricingStatus,pricingModel,currency,pricingSourceUrl,needsReview,nextSuggestedStatus,nextAction,dbUpdateRecommended
adobe-firefly,confirmed,true,subscription_credit,JPY,https://www.adobe.com/jp/products/firefly/plans.html,,confirmed,変更不要,no
canva-ai-image-generator,confirmed,true,subscription_credit,USD,,,confirmed,変更不要,no
capcut-ai,no_fixed_price,true,subscription,,,,no_fixed_price,変更不要,no
clipdrop,partial,true,subscription,,https://clipdrop.co/pricing,,partial,currency・commercialUse確認,no
dalle,partial,true,subscription_credit,USD,https://openai.com/chatgpt/pricing/,,partial,変更不要,no
dreamstudio,confirmed,true,credit,USD,https://stability.ai/brand-studio-plans,false,confirmed,変更不要,no
fotor-ai,partial,true,subscription_credit,USD,https://www.fotor.com/jp/pricing/,,partial,具体金額確認,no
gemini-image-generation,partial,true,subscription,,https://gemini.google.com/advanced?hl=ja,,partial,currency確認,no
hailuo-ai,confirmed,true,subscription_credit,USD,https://hailuoai.video/subscribe,false,confirmed,変更不要,no
haiper,service_changed,true,subscription_credit,unknown,,,service_changed,noindex維持,no
ideogram,partial,true,subscription_credit,USD,https://docs.ideogram.ai/plans-and-pricing/available-plans,,partial,透かし条件確認,no
invideo-ai,,false,subscription,USD,,,partial,根拠URL確認後にpartial追加,hold
kling-ai,,false,subscription_credit,USD,,,partial,料金ページURL取得後にpartial追加,hold
leonardo-ai,confirmed,true,subscription_credit,USD,,,confirmed,変更不要,no
luma-ai,confirmed,true,subscription_credit,USD,,,confirmed,変更不要,no
microsoft-designer,partial,true,subscription,USD,https://support.microsoft.com/ja-JP/designer/frequently-asked-questions-about-microsoft-designer,,partial,変更不要,no
midjourney,confirmed,true,subscription,USD,,,confirmed,変更不要,no
nightcafe,partial,true,subscription_credit,unknown,https://nightcafe.studio/blogs/info/is-nightcafe-free,,partial,通貨確認,no
pika,confirmed,true,subscription_credit,USD,,,confirmed,変更不要,no
pixverse,unconfirmed,true,subscription_credit,unknown,unknown,yes,partial,公式料金ページで通貨・金額確認,hold
playground-ai,confirmed,true,subscription_credit,USD,,,confirmed,変更不要,no
runway,confirmed,true,subscription_credit,USD,,,confirmed,変更不要,no
seaart-ai,unconfirmed,true,subscription,unknown,,yes,partial,公式料金・商用利用・透かし確認,hold
stable-diffusion,,false,local_free,USD,https://platform.stability.ai/pricing,,partial,ローカル無料+クラウドAPI整理,hold
tensor-art,,false,subscription_credit,unknown,https://tensor.art/event/proupdate,,partial,専用料金ページURL・currency確認,hold
vidu-ai,unconfirmed,true,subscription_credit,unknown,https://www.vidu.com/pricing,true,partial,実ブラウザで料金・通貨確認,hold
